com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:47,003 com.hrm.common.BaseTest.closeBrowser(BaseTest.java:79) Execution completed on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-16 22:34:47,107 com.hrm.common.BaseTest.closeFrameWork(BaseTest.java:65) finalizing ExtentReport 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:26,723 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:27,245 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:27,260 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:46,549 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:46,658 com.hrm.common.BaseTest.preCondition(BaseTest.java:117) explicit login required 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:50,069 com.hrm.common.BaseTest.postCondition(BaseTest.java:132) explicit logout required 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:52,506 com.hrm.common.BaseTest.closeBrowser(BaseTest.java:79) Execution completed on Browser:firefox 
com.hrm.scripts.VerifyLogo 2017-01-17 08:15:52,984 com.hrm.common.BaseTest.closeFrameWork(BaseTest.java:66) finalizing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:23:39,345 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:23:39,831 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:23:39,869 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:23:58,992 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:23:59,117 com.hrm.common.BaseTest.preCondition(BaseTest.java:117) explicit login required 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:24:10,285 com.hrm.common.BaseTest.postCondition(BaseTest.java:132) explicit logout required 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:24:11,516 com.hrm.common.BaseTest.closeBrowser(BaseTest.java:79) Execution completed on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 08:24:11,613 com.hrm.common.BaseTest.closeFrameWork(BaseTest.java:66) finalizing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:20,718 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:20,834 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:20,841 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:39,527 com.hrm.common.BaseTest.initApplication(BaseTest.java:94) TimeOut:20 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:39,563 com.hrm.common.BaseTest.preCondition(BaseTest.java:117) explicit login required 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:39,592 com.hrm.scripts.ExplicitLoginScenario.testLoginScenario(ExplicitLoginScenario.java:14) This is from ExplicitLoginScenario 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:17:39,595 com.hrm.common.BaseTest.postCondition(BaseTest.java:132) explicit logout required 
com.hrm.scripts.ImplicitLoginScenario 2017-01-17 11:17:40,484 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:18:25,077 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:18:25,294 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:18:25,304 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:20:25,558 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:20:25,795 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:20:25,810 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:21:54,867 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:21:54,980 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:21:54,988 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:23:58,291 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:23:58,405 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:23:58,413 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:26:20,069 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:26:20,185 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:26:20,194 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:31:01,579 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:31:01,757 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:31:01,767 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:32:55,691 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:32:55,968 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:32:55,987 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:35:06,720 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:35:06,970 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:35:06,984 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:37:35,213 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:37:35,447 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:37:35,466 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:38:34,139 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:38:34,369 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:38:34,383 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:40:27,873 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:40:28,102 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:40:28,124 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:42:52,589 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:42:52,809 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:42:52,827 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:firefox 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:50:42,663 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:50:42,895 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:50:42,914 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:51:20,643 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:51:20,809 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:51:20,822 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:06,172 com.hrm.common.BaseTest.initFrameWork(BaseTest.java:53) initializing ExtentReport 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:06,289 com.hrm.common.BaseTest.initBrowser(BaseTest.java:73) Execution started on Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:06,298 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:11,157 com.hrm.common.BaseTest.initApplication(BaseTest.java:96) TimeOut:20 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:11,196 com.hrm.common.BaseTest.preCondition(BaseTest.java:119) explicit login required 
com.hrm.scripts.VerifyLoginLogout 2017-01-17 11:54:24,965 com.hrm.common.BaseTest.postCondition(BaseTest.java:134) explicit logout required 
com.hrm.scripts.ExplicitLoginScenario 2017-01-17 11:54:26,080 com.hrm.common.BaseTest.initApplication(BaseTest.java:85) Browser:chrome 
